Ticker,Spinoff_Date,Child_Sector,Parent_Sector,Return_Percent
FCPT,2015-11-10,Real Estate,Consumer Cyclical,86.7
MSGS,2015-10-01,Communication Services,Unknown2,33.94
CSW,2015-10-01,Industrials,Financial Services,22.3
AA,2016-11-01,Basic Materials,Industrials,0.63
ADNT,2016-10-31,Consumer Cyclical,Industrials,-51.31
DFIN,2016-10-03,Technology,Unknown2,-24.81
ASIX,2016-10-03,Basic Materials,Industrials,52.59
NGVT,2016-05-16,Basic Materials,Unknown2,87.02
SMHI,2017-06-02,Industrials,Unknown2,7.34
CARS,2017-06-01,Communication Services,Unknown2,-21.18
FTDR,2018-10-01,Consumer Cyclical,Unknown2,46.22
GTX,2018-10-01,Consumer Cyclical,Industrials,-72.04
KLXE,2018-09-17,Energy,Unknown2,-95.94
AMTB,2018-08-29,Financial Services,Unknown2,-10.38
RDVT,2018-03-27,Technology,Communication Services,93.59
CRNC,2019-10-02,Technology,Unknown2,303.36
FOX,2019-03-21,Communication Services,Unknown2,18.45
FOXA,2019-03-21,Communication Services,Unknown2,24.71
LNSR,2020-10-02,Healthcare,Unknown2,-28.97
AOUT,2020-08-25,Consumer Cyclical,Industrials,-41.66
DOUG,2021-12-30,Real Estate,Unknown2,-56.06
SLVM,2021-10-01,Basic Materials,Consumer Cyclical,55.13
NABL,2021-07-20,Technology,Unknown2,10.24
DTM,2021-07-01,Energy,Utilities,18.65
MBC,2022-12-15,Consumer Cyclical,Unknown2,96.02
WS,2023-12-01,Basic Materials,Industrials,12.01
VLTO,2023-10-02,Industrials,Healthcare,31.81
RENX,2023-09-28,Real Estate,Industrials,-93.78
KNF,2023-06-01,Basic Materials,Utilities,80.99
VTS,2023-01-17,Energy,Financial Services,62.55
GEHC,2023-01-04,Healthcare,Industrials,-1.05
INBX,2024-05-30,Healthcare,Unknown2,611.25
SOLV,2024-04-01,Healthcare,Industrials,25.07
